,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Onsite,,,,,HQ,,,,,,,,,,,,,,,
,Module,Feature,Type,DeepSky H1 Status,Description,Property Management,Leasing,Marketing,Support & RX,Facilities & Maintenance,Pricing,Property Accounting,Physcial / CapEx,Data & Analytics,Engineering,Property Management,Leasing,Marketing,Support,Facilities & Maintenance,Pricing,Property Accounting,Physcial / CapEx,Data & Analytics,Engineering,Importance Points
,Voyager,Community Dashboard,Dashboard,MVP Complete,"Property Homepage with key metrics, hyperlinking to quick reports across Resident Activity, Maintenance, Unit Statistics, and Traffic. Property calendar. Ability to search for residents. ",High,Medium,Low,Medium,High,High,High,Low,Low,None,5,2,1,2,5,5,5,1,1,0,27
,Voyager,Unit Availability,Report,Fully Complete,Availability status of all unit types across the property,High,High,High,None,Medium,High,Low,None,Medium,None,5,5,5,0,2,5,1,0,2,0,25
,Voyager,Unit Availability Details,Report,"Reliant on Analytics Team, BE Complete",Detailed report of the status of all units by unit type. Highly important,High,High,Low,None,High,High,Low,None,Medium,None,5,5,1,0,5,5,1,0,2,0,24
,Voyager,Workflow Dashboard,Dashboard,Planned For H2,Dashboard to view and approve Invoices and Purchase Orders based on configured workflows for different types of invoice,High,None,None,None,High,None,High,High,None,None,5,0,0,0,5,0,5,5,0,0,20
,Voyager,Resident Profile,Dashboard,MVP Complete,"Interface to view all the information associated with a given tenant. Roommates can be viewed but with minimal information. Used predominantly to access contact info, view the tenant's ledger, and add attachments or new information like vehicles or pets. Also used to update resident's status.",High,Medium,None,Medium,Medium,Low,Medium,None,Medium,Low,5,2,0,2,2,1,2,0,2,1,17
,Voyager,BoxScore Summary,Report,"Not Accounted For, Reliant on Analytics Team","Property overview report detailing Availabiity, Resident Activity, and Leasing funnel conversion. Highly important.",High,High,None,None,None,High,Medium,None,None,None,5,5,0,0,0,5,2,0,0,0,17
,Voyager,Projected Occupancy,Report,"BE Complete, Reliant on Analytics Team",Over a given time period. Derived only from current lease statuses.,High,High,Low,None,None,High,Low,None,None,None,5,5,1,0,0,5,1,0,0,0,17
,Voyager,Rent Roll (+ Rent Roll with Lease Charges),Report,"BE Complete, Reliant on Analytics Team","Report of all units in the property and their current tenant, market rent, actual rent, and lease information",High,Low,Medium,None,None,High,Low,None,Medium,None,5,1,2,0,0,5,1,0,2,0,16
